yearTesting,studyName,trial,loc,geno,yearCloning,rep,block,plotnumber,entryType,fyld,design
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1307P0016,2013,1,1,1004,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1329P0003,2013,1,1,1031,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1343P0002,2013,1,1,1010,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1343P0013,2013,1,1,1003,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1343P0022,2013,1,1,1029,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1343P0044,2013,1,1,1023,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1343P0045,2013,1,1,1024,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1362P0001,2013,1,1,1020,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1365P0002,2013,1,1,1015,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1365P0029,2013,1,1,1016,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1377P0018,2013,1,1,1011,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1401P0016,2013,1,1,1009,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F2110P0008,2013,1,1,1014,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,IITA-TMS-IBA000070,2000,2,2,2021,check,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,IITA-TMS-IBA30572,0,2,2,2018,check,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,IITA-TMS-IBA980581,1998,2,2,2027,check,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,IITA-TMS-IBA982101,1998,2,2,2033,check,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMEB419,0,2,2,2008,check,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1020P0001,2013,2,2,2002,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1053P0009,2013,2,2,2007,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1053P0010,2013,2,2,2006,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1053P0015,2013,2,2,2009,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1063P0013,2013,2,2,2032,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1069P0024,2013,2,2,2004,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1088P0007,2013,2,2,2012,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1095P0011,2013,2,2,2034,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1122P0005,2013,2,2,2028,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1124P0004,2013,2,2,2025,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1126P0006,2013,2,2,2019,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1153P0001,2013,2,2,2011,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1160P0004,2013,2,2,2029,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1176P0002,2013,2,2,2023,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1203P0042,2013,2,2,2015,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1288P0005,2013,2,2,2001,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1307P0016,2013,2,2,2020,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1329P0003,2013,2,2,2003,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1343P0002,2013,2,2,2010,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1343P0013,2013,2,2,2022,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1343P0022,2013,2,2,2026,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1343P0044,2013,2,2,2014,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1343P0045,2013,2,2,2013,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1362P0001,2013,2,2,2016,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1365P0002,2013,2,2,2017,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1365P0029,2013,2,2,2031,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1377P0018,2013,2,2,2005,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1401P0016,2013,2,2,2030,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F2110P0008,2013,2,2,2024,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,IITA-TMS-IBA000070,2000,3,3,3033,check,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,IITA-TMS-IBA30572,0,3,3,3005,check,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,IITA-TMS-IBA980581,1998,3,3,3024,check,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,IITA-TMS-IBA982101,1998,3,3,3019,check,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMEB419,0,3,3,3012,check,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1020P0001,2013,3,3,3026,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1053P0009,2013,3,3,3028,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1053P0010,2013,3,3,3015,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1053P0015,2013,3,3,3008,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1063P0013,2013,3,3,3007,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1069P0024,2013,3,3,3009,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1088P0007,2013,3,3,3014,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1095P0011,2013,3,3,3011,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1122P0005,2013,3,3,3003,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1124P0004,2013,3,3,3001,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1126P0006,2013,3,3,3025,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1153P0001,2013,3,3,3004,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1160P0004,2013,3,3,3002,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1176P0002,2013,3,3,3022,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1203P0042,2013,3,3,3006,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1288P0005,2013,3,3,3032,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1307P0016,2013,3,3,3030,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1329P0003,2013,3,3,3013,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1343P0002,2013,3,3,3018,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1343P0013,2013,3,3,3023,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1343P0022,2013,3,3,3017,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1343P0044,2013,3,3,3010,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1343P0045,2013,3,3,3029,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1362P0001,2013,3,3,3034,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1365P0002,2013,3,3,3031,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1365P0029,2013,3,3,3021,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1377P0018,2013,3,3,3027,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F1401P0016,2013,3,3,3020,test,NA,RCBD
2016,16.GS.C1.UYT.34.MK,UYT,Mokwa,TMS13F2110P0008,2013,3,3,3016,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,IITA-TMS-IBA000070,2000,1,1,1022,check,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,IITA-TMS-IBA30572,0,1,1,1025,check,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,IITA-TMS-IBA980581,1998,1,1,1001,check,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,IITA-TMS-IBA982101,1998,1,1,1018,check,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMEB419,0,1,1,1005,check,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1020P0001,2013,1,1,1019,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1053P0009,2013,1,1,1030,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1053P0010,2013,1,1,1028,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1053P0015,2013,1,1,1027,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1063P0013,2013,1,1,1013,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1069P0024,2013,1,1,1008,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1088P0007,2013,1,1,1007,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1095P0011,2013,1,1,1017,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1122P0005,2013,1,1,1034,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1124P0004,2013,1,1,1021,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1126P0006,2013,1,1,1002,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1153P0001,2013,1,1,1032,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1160P0004,2013,1,1,1006,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1176P0002,2013,1,1,1026,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1203P0042,2013,1,1,1033,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1288P0005,2013,1,1,1012,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1307P0016,2013,1,1,1004,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1329P0003,2013,1,1,1031,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1343P0002,2013,1,1,1010,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1343P0013,2013,1,1,1003,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1343P0022,2013,1,1,1029,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1343P0044,2013,1,1,1023,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1343P0045,2013,1,1,1024,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1362P0001,2013,1,1,1020,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1365P0002,2013,1,1,1015,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1365P0029,2013,1,1,1016,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1377P0018,2013,1,1,1011,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1401P0016,2013,1,1,1009,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F2110P0008,2013,1,1,1014,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,IITA-TMS-IBA000070,2000,2,2,2021,check,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,IITA-TMS-IBA30572,0,2,2,2018,check,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,IITA-TMS-IBA980581,1998,2,2,2027,check,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,IITA-TMS-IBA982101,1998,2,2,2033,check,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMEB419,0,2,2,2008,check,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1020P0001,2013,2,2,2002,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1053P0009,2013,2,2,2007,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1053P0010,2013,2,2,2006,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1053P0015,2013,2,2,2009,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1063P0013,2013,2,2,2032,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1069P0024,2013,2,2,2004,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1088P0007,2013,2,2,2012,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1095P0011,2013,2,2,2034,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1122P0005,2013,2,2,2028,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1124P0004,2013,2,2,2025,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1126P0006,2013,2,2,2019,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1153P0001,2013,2,2,2011,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1160P0004,2013,2,2,2029,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1176P0002,2013,2,2,2023,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1203P0042,2013,2,2,2015,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1288P0005,2013,2,2,2001,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1307P0016,2013,2,2,2020,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1329P0003,2013,2,2,2003,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1343P0002,2013,2,2,2010,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1343P0013,2013,2,2,2022,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1343P0022,2013,2,2,2026,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1343P0044,2013,2,2,2014,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1343P0045,2013,2,2,2013,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1362P0001,2013,2,2,2016,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1365P0002,2013,2,2,2017,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1365P0029,2013,2,2,2031,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1377P0018,2013,2,2,2005,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1401P0016,2013,2,2,2030,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F2110P0008,2013,2,2,2024,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,IITA-TMS-IBA000070,2000,3,3,3033,check,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,IITA-TMS-IBA30572,0,3,3,3005,check,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,IITA-TMS-IBA980581,1998,3,3,3024,check,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,IITA-TMS-IBA982101,1998,3,3,3019,check,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMEB419,0,3,3,3012,check,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1020P0001,2013,3,3,3026,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1053P0009,2013,3,3,3028,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1053P0010,2013,3,3,3015,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1053P0015,2013,3,3,3008,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1063P0013,2013,3,3,3007,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1069P0024,2013,3,3,3009,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1088P0007,2013,3,3,3014,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1095P0011,2013,3,3,3011,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1122P0005,2013,3,3,3003,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1124P0004,2013,3,3,3001,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1126P0006,2013,3,3,3025,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1153P0001,2013,3,3,3004,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1160P0004,2013,3,3,3002,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1176P0002,2013,3,3,3022,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1203P0042,2013,3,3,3006,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1288P0005,2013,3,3,3032,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1307P0016,2013,3,3,3030,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1329P0003,2013,3,3,3013,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1343P0002,2013,3,3,3018,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1343P0013,2013,3,3,3023,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1343P0022,2013,3,3,3017,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1343P0044,2013,3,3,3010,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1343P0045,2013,3,3,3029,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1362P0001,2013,3,3,3034,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1365P0002,2013,3,3,3031,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1365P0029,2013,3,3,3021,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1377P0018,2013,3,3,3027,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F1401P0016,2013,3,3,3020,test,NA,RCBD
2016,16.GS.C1.UYT.34.UB,UYT,Ubiaja,TMS13F2110P0008,2013,3,3,3016,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,IITA-TMS-IBA000070,2000,1,1,1022,check,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,IITA-TMS-IBA30572,0,1,1,1025,check,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,IITA-TMS-IBA980581,1998,1,1,1001,check,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,IITA-TMS-IBA982101,1998,1,1,1018,check,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMEB419,0,1,1,1005,check,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1020P0001,2013,1,1,1019,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1053P0009,2013,1,1,1030,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1053P0010,2013,1,1,1028,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1053P0015,2013,1,1,1027,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1063P0013,2013,1,1,1013,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1069P0024,2013,1,1,1008,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1088P0007,2013,1,1,1007,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1095P0011,2013,1,1,1017,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1122P0005,2013,1,1,1034,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1124P0004,2013,1,1,1021,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1126P0006,2013,1,1,1002,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1153P0001,2013,1,1,1032,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1160P0004,2013,1,1,1006,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1176P0002,2013,1,1,1026,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1203P0042,2013,1,1,1033,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1288P0005,2013,1,1,1012,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1307P0016,2013,1,1,1004,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1329P0003,2013,1,1,1031,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1343P0002,2013,1,1,1010,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1343P0013,2013,1,1,1003,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1343P0022,2013,1,1,1029,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1343P0044,2013,1,1,1023,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1343P0045,2013,1,1,1024,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1362P0001,2013,1,1,1020,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1365P0002,2013,1,1,1015,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1365P0029,2013,1,1,1016,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1377P0018,2013,1,1,1011,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1401P0016,2013,1,1,1009,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F2110P0008,2013,1,1,1014,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,IITA-TMS-IBA000070,2000,2,2,2021,check,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,IITA-TMS-IBA30572,0,2,2,2018,check,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,IITA-TMS-IBA980581,1998,2,2,2027,check,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,IITA-TMS-IBA982101,1998,2,2,2033,check,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMEB419,0,2,2,2008,check,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1020P0001,2013,2,2,2002,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1053P0009,2013,2,2,2007,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1053P0010,2013,2,2,2006,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1053P0015,2013,2,2,2009,test,NA,RCBD
2016,16.GS.C1.UYT.34.UM,UYT,Umudike,TMS13F1063P0013,2013,2,2,2032,test,NA,RCBD
